Place	BP	FN	LN	Faction	LVO16	ITC
89	96.8	Henry	Gridley	Tau	.	298.74
89	96.8	Anthony	D'Amore	SM	19	437.21
96	103.56	matt	lewis	DA	46	432.4
96	114.81	Bruce	Merker	Eldar	.	351.68
96	90.05	Phil	Rodokanakis	Eldar	153	434.07
96	96.8	Ryan	Mead	CSM	113	405.03
96	90.05	Tuan	Tran	Tau	153	263.6
96	90.05	James	Thomas	Corsairs	.	155.82
102	96.8	Andrew	Ford	Eldar	41	61.9
102	112.56	aurelio	correa	CM	.	406.14
102	90.05	Ben	Jensen	CD	.	93.33
102	103.56	Luis	Alcala	Ren	.	207.02
102	96.8	Jason	Byrd	RenKnight	126	351.69
102	90.05	Anthony	Gates	IK	.	.
102	96.8	Jack	Kennard	RenKnight	.	228.57
102	90.05	Matt	Barlow	Tyranids	48	213.71
110	110.31	Robert	Dayton	Harlequins	116	362.98
110	103.56	Bob	Kelley	KDK	229	89.35
110	110.31	Mike	Benton	Necrons	.	421.1
113	110.31	Mike	Iwaoka	Tau	.	308.97
113	96.8	Allan	Hernandez	Harlequins	.	374.05
113	90.05	Richard	Simms	GSC	.	122.47
116	90.05	Nick	Rose	SM	.	166.05
117	96.8	Andrew	Dedios	IK	80	175.2
118	90.05	Josh	Rosenstein	Assassins	137	113.92
119	96.8	Ben	Vaughan	IK	103	519.49
119	90.05	Joseph	Duca	Necrons	.	224.53
121	110.31	Alex	Stewart	CSM	.	241.05
122	105.81	bryan	hancock	Eldar	.	208.27
123	105.81	Alex	Gonzalez	RenKnight	38	566.51
124	90.05	Matthew	Blair	Eldar	.	162.38
125	96.8	Robert	Harp	SW	.	48.44
125	103.56	Ben	Vizcarra	Eldar	25	525.23
125	90.05	Sean	Porter	IG	101	381.68
128	110.31	Trevor	Sandoval	Tau	121	548.88
128	90.05	Paul	Miglino	SM	.	65.98
130	105.81	Cyle	Thompson	CD	108	563.4
131	99.05	Mark	Crombleholme	IK	91	90.98
132	105.81	Shaylynn	Allen	GK	.	368.81
132	103.56	Evan	Stevens	Tau	.	196.28
132	90.05	Brad	Nichols	CM	57	192.85
135	92.3	Mike	Hancho	SM	.	453.52
136	105.81	Jason	Hickle	IG	.	.
136	99.05	Jared	Freidman	CD	.	145.37
136	90.05	Wesley	Anderson	Tau	.	95.08
139	103.56	Diogo	Pita	Eldar	.	478.34
140	103.56	Bill	Durrett	MT	116	149.82
140	90.05	Dan	Comeau	GK	.	384.36
142	96.8	Garret	Acord	SM	251	46.51
143	99.05	Devin	Meadows	Orks	.	375.06
144	105.81	joshua	carroll	SW	.	.
145	90.05	Baxter	Seguin	Necrons	63	521.02
146	90.05	West	Bertozzi	SM	.	104.9
147	96.8	Isiah	Silva	Tau	.	.
148	103.56	Austin	Wingfield	Ren	.	515.52
148	90.05	Pascal	Roggen	BA	.	.
148	96.8	Tim	Schneider	CD	291	148.06
151	90.05	Adrian	Phillips	CM	85	194.37
151	90.05	Derek	Deraiche	SM	.	134.23
151	96.8	Zach	Bowles	DA	.	44.4
151	90.05	Edward	Goodhue	GSC	.	.
155	90.05	Patrick	McAneeny	SM	108	445.77
155	90.05	vincent	weibert	SM	63	409.66
155	90.05	Jason	Heide	CSM	.	.
158	85.55	Zach	Becker	Eldar	.	89.35
158	85.55	Tyler	Lee	SW	.	365.3
158	92.3	Kyle	Watson	DA	145	164.45
158	92.3	Shane	Watts	Deathwatch	.	332.61
158	92.3	JT	McDowell	DE	.	497.14
158	85.55	Tim	Huebscher	DA	.	.
158	85.55	Logan	MacLaren	Tau	.	368.04
158	78.79	Lee	Durkin	CD	.	.
158	85.55	Scott	Freeman	RenKnight	199	278.11
158	78.79	Aaron	Fyffe	Eldar	.	198.34
168	81.04	Reid	Oshiro	Corsairs	195	71.5
168	74.29	Chris	DeRhodes	Harlequins	.	106.91
168	74.29	Logan	Mulroney	CD	208	338.11
168	67.54	Aaron	white	Necrons	.	114.23
168	67.54	michael	hernandez	Necrons	.	108.15
173	87.8	Justin	Whitton	Ren	169	418.5
173	74.29	Steven	Shanley	SM	.	275.21
173	81.04	Adam	Napier	GSC	.	566.26
173	67.54	john	lester	IK	208	21.09
173	67.54	Ben	Nicholls	DE	76	48.78
173	67.54	Jason	Shelton	CM	.	.
173	67.54	Michael	Fletcher	SW	.	43.16
173	74.29	Josh	Johnston	Eldar	.	23.46
173	67.54	Robby	Vega	Tau	.	.
182	87.8	Alexander	Villagra	Tau	.	376.3
182	81.04	Reed	Soeffker	KDK	.	356.29
182	67.54	John	Moore	Tau	.	331.41
182	67.54	Anthony	O'Dell	CSM	.	386.57
182	67.54	Jonathan	Hendry	Orks	.	.
182	67.54	George	Macrodimitris	Eldar	.	221.92
182	67.54	Paul	Brodzik	Tau	.	265.91
182	67.54	Christopher	Gunter	Eldar	229	53.07
190	67.54	Jay	Jones	Eldar	199	324.47
190	67.54	Karl	Payne	CM	50	153.28
190	81.04	Justin	Kemple	CM	.	90.77
190	74.29	Jacob	Lindfors	CM	.	35.76
190	67.54	Joshua	Rogers	Eldar	.	.
190	74.29	James	Carmona	CD	146	599.5
190	67.54	Kenny	Boucher	CD	.	35.38
190	67.54	Darren	Gross	CM	.	.
198	74.29	Timothy	Quan	CD	.	96.95
198	74.29	Dallas	Rapoport	CD	.	407.44
198	67.54	Duane	Uchida	SM	.	328.39
198	74.29	Brad	Nielsen	CD	.	.
198	74.29	Andrew	Fegette	CSM	.	315.12
198	67.54	Darrin	Clarke	BA	194	277.3
204	74.29	Aaron	Weisman	CD	.	319.56
204	67.54	John	Teets	SM	.	431.48
204	67.54	David	Calder	GSC	84	.
204	74.29	Gerard	Malipaard	Tau	.	271.5
204	74.29	Vincent	Price	Eldar	63	383.45
204	67.54	Robert	Ouimette	Orks	.	173.62
204	67.54	Andrew	King	Necrons	.	55.54
211	74.29	han	rockhill	Tau	126	176.71
211	67.54	Nathan	Creer	Tyranids	273	.
211	74.29	Kurt	Steinhilber	DA	.	234.44
211	67.54	George	Ruiz	Tau	.	32.11
211	67.54	Korey	Russell	CSM	.	.
211	74.29	Samuel	Lewis	Eldar	.	.
217	74.29	Doc	Dragon	GK	.	375.74
217	67.54	Sean	Rinder	SM	.	133.74
217	67.54	Gage	Weibert	BA	186	.
217	67.54	Isabella	Burnell	Eldar	.	.
221	74.29	Val	Heffelfinger	Tau	.	288.29
221	67.54	Thomas	Burton	DA	181	228.02
221	67.54	Andrew	Dickinger	Tau	54	270.73
221	67.54	Ryan	Mindell	IK	.	.
221	67.54	Nathalie	Fregosi-Jeanniard	GSC	235	141.71
221	67.54	Charles	Parker	Tyranids	.	.
227	81.04	Denny	Page	KDK	267	372.38
227	87.8	Brian	Delgado	SM	50	53.07
229	74.29	Eric	Cacace	DE	.	225.09
229	87.8	Thomas	Reidy	CSM	21	183.09
231	81.04	Gus	Smythe	Corsairs	.	.
232	67.54	Maxwell	Hill	Skitarii	181	.
232	67.54	Codi	Gann	Orks	.	69.79
234	67.54	Eric	Smith	SM	.	31.34
234	74.29	Zach	Gill	Necrons	.	271.54
236	76.54	Jacob	Ballard	Orks	163	408.22
236	76.54	Perry	Spilman	SM	.	378.03
238	67.54	Randall	Nelson	IK	63	105.92
238	76.54	Kaleb	Ragan	DA	.	139.77
240	76.54	David	Arimond	Tau	.	433.7
240	81.04	Aaron	Thompson	Eldar	.	85.35
240	67.5	Keven	Spry	SM	.	61.54
243	76.54	Sean	McNamara	SM	179	322.29
243	67.54	Kris	Mills	SM	153	174.3
243	67.54	David	Rowland	SM	181	285.5
246	69.79	Quinton	Johnson	Tau	.	309.4
246	67.54	Kevin	Kent	KDK	.	25.57
248	67.54	Brian	Foster	SM	.	104.96
248	67.54	Jace	Van Dyke	Orks	.	267.7
250	67.54	John	Hickton	Tyranids	208	267.37
250	67.54	Caleb	Edwards	Orks	.	128.56
250	67.54	Dustin	Dean	CM	.	65.46
253	83.29	Jeremy	Veysseire	Tau	71	553.28
253	67.54	Mark	Vachon	Eldar	.	184.37
255	67.54	Hank	Padilla	CSM	.	.
256	74.29	Lawrence	Dente	CD	.	336.26
257	74.29	Mark	Hayes	Eldar	121	37.22
257	67.54	jeffrey	heimbuch	RenKnight	.	272.59
257	67.54	Johnny	Chao	SoB	278	111.74
257	67.54	Dave	Danuser	Eldar	.	47.17
261	74.29	Zachary	Wilson	DE	.	.
262	67.54	Adrien	Jeanniard	SoB	88	412.32
263	81.04	Eddi	Macmichael	Necrons	.	.
264	67.54	Jason	Peck	CD	242	241.05
265	74.29	Patrick	O'Brien	Orks	.	.
266	67.54	mason	moore	Orks	146	395.56
266	67.54	John	Jansen	Eldar	.	127.44
268	67.54	Erik	Rickards	Tyranids	.	97.3
268	67.54	Landon	Jennings	CM	.	259.87
270	76.54	Russ	Tanner	Eldar	.	381.8
270	67.54	Garry	Sacco	SM	.	394.63
270	74.29	Michael	Trebino	DA	223	65.82
270	67.54	ryan	mccall	CM	.	244.28
270	67.54	Hayden	Navarre	CM	.	273.2
275	74.29	David	Landecker	SM	.	67.1
275	67.54	Samuel	Boman	RenKnight	.	316.78
275	67.54	Casey	Herbst	Eldar	199	402.4
278	67.54	Keith	Cooley	GSC	.	166.92
278	74.29	Jim	Yeh	SW	13	248.98
278	67.54	Greg	Verzosa	SM	153	260.61
278	67.54	Chris	Jones	IK	63	351.41
278	67.54	Greg	Harris	IK	163	158.67
283	67.54	Huy	Truong	KDK	.	89.13
283	74.29	Shayne	Rucki	SW	271	416.14
283	74.29	Ian	Ager	SW	.	35.32
283	81.04	Kristofer	del Solar	Eldar	.	.
283	67.54	Peter	Dupigny	SM	.	25.06
283	67.54	David	Cutts	IK	163	300.93
283	74.29	Charles	Arnett	CSM	71	432.21
283	74.29	Christopher	Nunes	IG	.	83.85
283	67.54	Matt	Shantz	BA	.	25.38
283	67.54	Joseph	Hyatt	CSM	.	93.98
293	67.54	Mike	Vagenos	Assassins	.	480.7
293	81.04	Darin	Schwartzmann	CM	81	144.27
293	67.54	Thomas	Barbato	SM	.	32.4
293	67.54	Stephen	Lind	CM	169	24.91
293	67.54	Kevin	Taucher	CM	.	185.45
293	74.29	Dale	Nisbet	CD	.	.
293	74.29	Ryan	Burwell	CSM	.	99.17
293	67.54	Caleb	Walke	Eldar	.	.
293	67.54	Timothy	Dierdorff	IG	146	245.19
293	67.54	Justin	Dicken	CSM	.	.
303	67.54	Matt	Posey	CSM	.	65.18
303	67.54	keith	byrnes	IG	.	.
303	67.54	James	Brandetsas	DE	256	49.1
303	74.29	Willow	Ryder	DE	57	364.93
303	74.29	Mike	Guarriello	IK	260	183.68
303	67.54	Michael	Haspil	SW	241	66.66
303	67.54	Sean	Nasto	BA	.	209.68
303	67.54	Joshua	Shubert	SoB	.	315.01
303	67.54	Anton	Kraemer	GK	.	.
312	67.54	Mike	Ball	Eldar	.	36.14
312	67.54	Nolan	Turner	SoB	.	.
312	74.29	Colin	Wingo	CD	.	256.86
312	74.29	michael	aldenbrook	CD	282	.
312	67.54	Rich	Mahoney	Necrons	.	.
312	67.54	Raul	Valencia	BA	.	25.38
318	74.29	Jake	Gonzalez	DA	146	.
318	74.29	Nathan	Hovis	Necrons	.	32.02
320	67.54	Danila	Butovskiy	SW	.	.
321	67.54	justin	Cox	Tau	.	29.34
321	74.29	Antonio	Ramos	Eldar	.	280.58
321	74.29	Aaron	Bratt	SM	116	32.3
321	67.54	Doug	Cole	CSM	260	.
321	67.54	Jeremy	Crones	CSM	.	.
326	67.54	Hunter	Cole	DE	57	.
326	67.54	Viet	Nguyen	Skitarii	.	49.73
328	81.04	israel	sanchez	Tau	18	280.81
328	67.54	Johnathan	Lindsley	CSM	.	49.92
328	74.29	jordan	stein	Necrons	.	310.07
328	81.04	Ben	Schimmoller	SM	95	45.2
332	67.54	Luis	Drexler	GK	.	147.1
332	67.54	Aaron	Bang	BA	.	126.5
334	67.54	Trevor	Lawrence	DA	.	32.11
335	67.54	Michael	Gilmartin	SM	.	.
336	67.54	Benjamin	Gabbert	DA	.	342.26
337	67.54	Regino	Sanchez	CSM	126	132.2
338	67.54	Kyle	Doeschot	Tau	.	88.63
338	67.54	Travis	Uslan	SM	.	.
340	74.29	Jason	Sedlak	CD	199	65.88
341	67.54	Alfred	Drake	Tau	174	110.29
342	67.54	Cody	Johnson	CSM	291	42.3
343	67.54	Chad	Ball	Tyranids	287	59.16
344	76.54	John	Jourden	Ren	.	498.4
345	67.54	Chris	Metzen	IG	.	79.75
346	67.54	Daniel	Sanchez	CSM	.	58.26
347	67.54	Ashley	Tibbits	Eldar	.	85.66
348	67.54	Curtis	Warren	Necrons	.	.
349	67.54	Gabriel	Fantini	Skitarii	.	.
350	67.54	Randall	Harding	Ren	.	.
350	67.54	Christopher	Harkins	Tau	.	.
352	74.29	Marc-André	Houle	GK	.	269.76
352	74.29	Phil	Tracy	SM	137	266.01
354	74.29	Matt	Volkar	GSC	199	184.44
354	67.54	Jason	Wolfe	Skitarii	.	140.71
354	67.54	Lee	Thurston	CM	.	.
357	74.29	Karl	Andersson	Tau	.	31.73
357	67.54	Will	Wilson	SM	.	.
357	67.54	Josue	Ibarra	SM	.	41.54
360	67.54	Andrew	Armstrong	Eldar	.	273.16
360	67.54	Michael	Rhine	CM	.	.
362	67.54	Brian	Rayner	CD	.	92.02
363	67.54	John	Dyer	Tyranids	.	255.86
363	67.54	Jade	Scott	BA	.	158.83
363	67.54	Dieter	Paprotny	IK	.	146.46
363	74.29	John	Parsons	CD	216	70.08
367	74.29	Robert	Tanguay	DA	.	92
367	67.54	Jeff	Sordahl	GSC	.	.
367	67.54	Loren	Walker	SM	.	.
367	67.54	Colin	Sherlow	Eldar	181	47.13
367	74.29	Grover	Shipman	Tau	132	66.34
372	74.29	Gordon	Danke	GK	235	87.06
372	67.54	Warren	Bree	SM	264	.
372	67.54	Kevin	Theiss	Eldar	.	133.1
375	67.54	Steve	baytos	Orks	116	98.38
375	67.54	Trey	Hammerschmidt	GK	.	71.05
377	74.29	Chrischris	Fosterfoster	CD	.	168.04
378	67.54	Ted	Grabow	Tau	.	.
379	67.54	Ates	Bayraktaroglu	Eldar	.	144.7
380	67.54	Josh	DelValle	Eldar	.	121.58
381	67.54	Ben	Wooley	DA	146	74.64
382	67.54	Derek	Miller	SoB	.	.
383	67.54	Gavin	Ontai	Orks	.	.
384	67.54	Alex	Furton	Necrons	.	.
385	67.54	Darrell	Cash	DE	257	207.19
385	67.54	ryan	creer	CSM	288	.
387	67.54	Tyrone	Collier	KDK	.	25.38
388	67.54	Robert	Stadler	SW	.	.
389	67.54	Trevor	VanCleave	Tau	12	325.53
389	67.54	Jessica	Edgren	SW	290	101.71
391	67.54	Keith	Bien	SW	.	.
